policy,mean,std,count,sigma,impurity,num_dim,stdb
plurality,0.7999999999999887,3.5828420070310695e-16,1000,1.0,-0.6,2,0.2
default,0.7852399999999919,0.001268602282731576,1000,1.0,-0.6,2,0.2
augment,0.7993599999999893,0.000329391710428328,1000,1.0,-0.6,2,0.2
average,0.7553199999999964,0.0021975729628221485,1000,1.0,-0.6,2,0.2
ensemble,0.7964399999999899,0.0006213795237312779,1000,1.0,-0.6,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.0,-0.52,2,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.52,2,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.52,2,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.52,2,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.025,-0.52,2,0.2
default,0.9357599999999957,0.0006847563736770108,1000,0.025,-0.52,2,0.2
augment,0.976960000000005,0.0007161503133220505,1000,0.025,-0.52,2,0.2
average,0.9363199999999955,0.000678614852562269,1000,0.025,-0.52,2,0.2
ensemble,0.9351599999999951,0.0006712860977444895,1000,0.025,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.05,-0.52,2,0.2
default,0.8715599999999977,0.0015178505427973677,1000,0.05,-0.52,2,0.2
augment,0.9201999999999968,0.0013880513991515896,1000,0.05,-0.52,2,0.2
average,0.8793199999999967,0.0014598865945233109,1000,0.05,-0.52,2,0.2
ensemble,0.8749599999999962,0.0014835090829513644,1000,0.05,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.08,-0.52,2,0.2
default,0.8915199999999964,0.0012573267158819447,1000,0.08,-0.52,2,0.2
augment,0.918119999999996,0.0013022140228708058,1000,0.08,-0.52,2,0.2
average,0.900319999999995,0.0012373474163017543,1000,0.08,-0.52,2,0.2
ensemble,0.8916399999999963,0.0012219671041413481,1000,0.08,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.1,-0.52,2,0.2
default,0.7979599999999968,0.0014431635808601561,1000,0.1,-0.52,2,0.2
augment,0.8318399999999967,0.001682927998057736,1000,0.1,-0.52,2,0.2
average,0.8092399999999976,0.001514237535961692,1000,0.1,-0.52,2,0.2
ensemble,0.7965999999999963,0.0013862040115226767,1000,0.1,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.3,-0.52,2,0.2
default,0.7707199999999959,0.0015355257859897566,1000,0.3,-0.52,2,0.2
augment,0.7762799999999956,0.0016262860776648112,1000,0.3,-0.52,2,0.2
average,0.7690399999999958,0.002173246741951179,1000,0.3,-0.52,2,0.2
ensemble,0.7741199999999959,0.0014847323092160513,1000,0.3,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,0.5,-0.52,2,0.2
default,0.7491999999999971,0.0015587783003973893,1000,0.5,-0.52,2,0.2
augment,0.7600399999999954,0.0011824536340155495,1000,0.5,-0.52,2,0.2
average,0.7297199999999977,0.0023730050047888088,1000,0.5,-0.52,2,0.2
ensemble,0.7569999999999966,0.001225276010252906,1000,0.5,-0.52,2,0.2
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.0,-0.52,2,0.2
default,0.7404799999999971,0.0015217375875246307,1000,1.0,-0.52,2,0.2
augment,0.756959999999994,0.0005747074809750544,1000,1.0,-0.52,2,0.2
average,0.7050399999999981,0.002381148518733821,1000,1.0,-0.52,2,0.2
ensemble,0.7545599999999955,0.0007460314758527032,1000,1.0,-0.52,2,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,5,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,5,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,0.0,5,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,5,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.025,0.0,5,0.2
default,0.962880000000008,0.0006610162952171048,1000,0.025,0.0,5,0.2
augment,0.9658000000000084,0.0006251005925055194,1000,0.025,0.0,5,0.2
average,0.9636400000000076,0.0006437117093581233,1000,0.025,0.0,5,0.2
ensemble,0.9634800000000078,0.000644596854712384,1000,0.025,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.05,0.0,5,0.2
default,0.8812799999999964,0.0015922615667335878,1000,0.05,0.0,5,0.2
augment,0.8969999999999968,0.0015008172615120308,1000,0.05,0.0,5,0.2
average,0.8864399999999976,0.0015139413523708382,1000,0.05,0.0,5,0.2
ensemble,0.8852799999999972,0.001538859866813643,1000,0.05,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.08,0.0,5,0.2
default,0.884479999999996,0.001704240016556958,1000,0.08,0.0,5,0.2
augment,0.8961599999999964,0.001656260123772105,1000,0.08,0.0,5,0.2
average,0.8935599999999962,0.0016636388111889242,1000,0.08,0.0,5,0.2
ensemble,0.8909599999999972,0.0016936194220505206,1000,0.08,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.1,0.0,5,0.2
default,0.8934799999999966,0.0016400546879233528,1000,0.1,0.0,5,0.2
augment,0.8995599999999975,0.0016422251073781894,1000,0.1,0.0,5,0.2
average,0.8999199999999976,0.0016471510880021675,1000,0.1,0.0,5,0.2
ensemble,0.8979599999999968,0.0016272942224707014,1000,0.1,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.3,0.0,5,0.2
default,0.6170399999999997,0.0030969710411351352,1000,0.3,0.0,5,0.2
augment,0.6487999999999998,0.002992041495753743,1000,0.3,0.0,5,0.2
average,0.6495999999999987,0.0030421529702982955,1000,0.3,0.0,5,0.2
ensemble,0.638519999999999,0.0028968606113172544,1000,0.3,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,5,0.2
default,0.5677999999999999,0.0032504962276128997,1000,0.5,0.0,5,0.2
augment,0.60608,0.0031223040182503567,1000,0.5,0.0,5,0.2
average,0.5992399999999992,0.0031380997546397397,1000,0.5,0.0,5,0.2
ensemble,0.59116,0.0030431423093761297,1000,0.5,0.0,5,0.2
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,5,0.2
default,0.5256399999999996,0.003264789311617089,1000,1.0,0.0,5,0.2
augment,0.5463999999999996,0.0032335577767987917,1000,1.0,0.0,5,0.2
average,0.5402399999999997,0.003281632446132798,1000,1.0,0.0,5,0.2
ensemble,0.5371600000000002,0.003201340810189209,1000,1.0,0.0,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5,0.2
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.84,5,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
default,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
augment,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
average,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.025,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.05,-0.84,5,0.2
default,0.9321999999999916,0.0005908545583382678,1000,0.05,-0.84,5,0.2
augment,0.9859200000000046,0.0006044161802259442,1000,0.05,-0.84,5,0.2
average,0.9345199999999929,0.0006111817594980635,1000,0.05,-0.84,5,0.2
ensemble,0.9321199999999915,0.0005815873484214085,1000,0.05,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,5,0.2
default,0.9206399999999854,0.0001587942556127746,1000,0.08,-0.84,5,0.2
augment,0.9452800000000011,0.0006534129999843457,1000,0.08,-0.84,5,0.2
average,0.9211199999999855,0.00020878024137640404,1000,0.08,-0.84,5,0.2
ensemble,0.9206399999999851,0.00015879425561277373,1000,0.08,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.1,-0.84,5,0.2
default,0.9210399999999852,0.00021671494033721888,1000,0.1,-0.84,5,0.2
augment,0.9359199999999951,0.0007461302234263852,1000,0.1,-0.84,5,0.2
average,0.9210799999999855,0.00020512356197101048,1000,0.1,-0.84,5,0.2
ensemble,0.920439999999985,0.00013199933266431143,1000,0.1,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.3,-0.84,5,0.2
default,0.9188799999999901,0.000811544332864325,1000,0.3,-0.84,5,0.2
augment,0.9243999999999915,0.0008259068483322522,1000,0.3,-0.84,5,0.2
average,0.9217999999999945,0.0010655963098169484,1000,0.3,-0.84,5,0.2
ensemble,0.9230399999999895,0.0005884765965649794,1000,0.3,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.5,-0.84,5,0.2
default,0.9046799999999894,0.0011545694568238897,1000,0.5,-0.84,5,0.2
augment,0.9177999999999868,0.0005659331058352066,1000,0.5,-0.84,5,0.2
average,0.8866799999999931,0.0016602813418617078,1000,0.5,-0.84,5,0.2
ensemble,0.9167599999999877,0.000580550979190839,1000,0.5,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.0,-0.84,5,0.2
default,0.8759599999999929,0.0019543535754560607,1000,1.0,-0.84,5,0.2
augment,0.9169999999999859,0.0004891208840759533,1000,1.0,-0.84,5,0.2
average,0.8319199999999942,0.002606896528347355,1000,1.0,-0.84,5,0.2
ensemble,0.9079199999999896,0.0009858222179710886,1000,1.0,-0.84,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5,0.2
default,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.76,5,0.2
augment,1.0,0.0,1000,0.0,-0.76,5,0.2
average,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.76,5,0.2
ensemble,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,5,0.2
default,0.9386799999999973,0.0006313923156455482,1000,0.025,-0.76,5,0.2
augment,0.9892000000000041,0.0005618502253053523,1000,0.025,-0.76,5,0.2
average,0.9391599999999967,0.000632213645925242,1000,0.025,-0.76,5,0.2
ensemble,0.9388799999999966,0.0006317790315804576,1000,0.025,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.05,-0.76,5,0.2
default,0.9070799999999926,0.0008589594934636962,1000,0.05,-0.76,5,0.2
augment,0.9756000000000055,0.0007696963248141631,1000,0.05,-0.76,5,0.2
average,0.911839999999992,0.0008455349367881484,1000,0.05,-0.76,5,0.2
ensemble,0.9069999999999921,0.0008253976503972349,1000,0.05,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.08,-0.76,5,0.2
default,0.8876399999999939,0.0005038693127034888,1000,0.08,-0.76,5,0.2
augment,0.9095199999999903,0.0007501548722312818,1000,0.08,-0.76,5,0.2
average,0.8879199999999943,0.0005106215176961633,1000,0.08,-0.76,5,0.2
ensemble,0.8862799999999945,0.00046387150890820375,1000,0.08,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.1,-0.76,5,0.2
default,0.9055599999999935,0.0009408355709535874,1000,0.1,-0.76,5,0.2
augment,0.9501199999999997,0.0011403885680267424,1000,0.1,-0.76,5,0.2
average,0.9165999999999943,0.0010388065840757422,1000,0.1,-0.76,5,0.2
ensemble,0.9039999999999928,0.0008749660368069007,1000,0.1,-0.76,5,0.2
