policy,mean,std,count,sigma,impurity,num_dim,stdb
default,0.9200399999999848,4.000000000000023e-05,1000,0.05,-0.84,5,0.2
augment,0.9491600000000052,0.0005625040540394444,1000,0.05,-0.84,5,0.2
average,0.9200399999999849,3.9999999999999936e-05,1000,0.05,-0.84,5,0.2
ensemble,0.9200399999999849,3.9999999999999936e-05,1000,0.05,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.08,-0.84,5,0.2
default,0.9225199999999868,0.00030748031505145953,1000,0.08,-0.84,5,0.2
augment,0.9543200000000038,0.0007570407589494259,1000,0.08,-0.84,5,0.2
average,0.9225999999999861,0.0003119893224732792,1000,0.08,-0.84,5,0.2
ensemble,0.9215199999999854,0.00024196724602339843,1000,0.08,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.1,-0.84,5,0.2
default,0.920159999999985,7.987978956394919e-05,1000,0.1,-0.84,5,0.2
augment,0.9305199999999915,0.0005879415577038922,1000,0.1,-0.84,5,0.2
average,0.9204399999999852,0.00013199933266431119,1000,0.1,-0.84,5,0.2
ensemble,0.9200399999999849,4.0000000000000024e-05,1000,0.1,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.3,-0.84,5,0.2
default,0.9177999999999882,0.0006477496272323008,1000,0.3,-0.84,5,0.2
augment,0.9187199999999873,0.0005894990323224591,1000,0.3,-0.84,5,0.2
average,0.9152399999999905,0.0009544912013494155,1000,0.3,-0.84,5,0.2
ensemble,0.9193599999999859,0.0003791228483409221,1000,0.3,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,0.5,-0.84,5,0.2
default,0.9028799999999902,0.0012024772561473156,1000,0.5,-0.84,5,0.2
augment,0.9179199999999867,0.000520715608316811,1000,0.5,-0.84,5,0.2
average,0.8859599999999929,0.0015871349650856384,1000,0.5,-0.84,5,0.2
ensemble,0.9163999999999873,0.0005825627686175833,1000,0.5,-0.84,5,0.2
plurality,0.9199999999999847,4.847374480100859e-16,1000,1.0,-0.84,5,0.2
default,0.882239999999993,0.0018008401998582228,1000,1.0,-0.84,5,0.2
augment,0.9178799999999852,0.00039250434349145816,1000,1.0,-0.84,5,0.2
average,0.8396799999999963,0.0026009734067580534,1000,1.0,-0.84,5,0.2
ensemble,0.9107999999999881,0.0008034958653319946,1000,1.0,-0.84,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5,0.2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5,0.2
augment,1.0,0.0,1000,0.0,-0.76,5,0.2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5,0.2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.0,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,5,0.2
default,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,5,0.2
augment,0.9113999999999873,0.0005199137527612698,1000,0.025,-0.76,5,0.2
average,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,5,0.2
ensemble,0.8799999999999959,1.2996583750995055e-16,1000,0.025,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.05,-0.76,5,0.2
default,0.9182399999999853,0.0002595568719370956,1000,0.05,-0.76,5,0.2
augment,0.9294799999999901,0.0006000747367534176,1000,0.05,-0.76,5,0.2
average,0.9194799999999848,0.00014335323557614657,1000,0.05,-0.76,5,0.2
ensemble,0.919159999999985,0.00018145888605226136,1000,0.05,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.08,-0.76,5,0.2
default,0.9636400000000017,0.0010271345605155234,1000,0.08,-0.76,5,0.2
augment,0.9848800000000036,0.0006967575410937914,1000,0.08,-0.76,5,0.2
average,0.9720400000000039,0.0009146994452141507,1000,0.08,-0.76,5,0.2
ensemble,0.9664400000000037,0.000982798195100242,1000,0.08,-0.76,5,0.2
plurality,0.8799999999999959,1.2996583750995055e-16,1000,0.1,-0.76,5,0.2
default,0.885039999999995,0.0004903456320176997,1000,0.1,-0.76,5,0.2
augment,0.9088799999999944,0.0010891886576401455,1000,0.1,-0.76,5,0.2
average,0.8870799999999949,0.0006064993334220889,1000,0.1,-0.76,5,0.2
ensemble,0.8829599999999955,0.00038495010921752777,1000,0.1,-0.76,5,0.2
