policy,mean,std,count,sigma,impurity,num_dim
average,0.777919999999998,0.0028566823824559507,1000,1.0,-0.76,5
ensemble,0.8656399999999963,0.001051330440772875,1000,1.0,-0.76,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,1.5,-0.76,5
default,0.8285199999999971,0.0022212481949443587,1000,1.5,-0.76,5
augment,0.8773599999999968,0.000476295346667651,1000,1.5,-0.76,5
average,0.7667199999999974,0.002950584272232801,1000,1.5,-0.76,5
ensemble,0.863799999999997,0.0011183965355860198,1000,1.5,-0.76,5
plurality,0.8799999999999959,1.2996583750995055e-16,1000,2.0,-0.76,5
default,0.8201999999999973,0.002393844291195762,1000,2.0,-0.76,5
augment,0.8772399999999966,0.0004671194714423691,1000,2.0,-0.76,5
average,0.7563599999999974,0.0031350564554691825,1000,2.0,-0.76,5
ensemble,0.8597999999999966,0.001230883859295867,1000,2.0,-0.76,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.0,-0.68,5
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,5
augment,0.9600000000000122,3.8638492232688e-16,1000,0.0,-0.68,5
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,5
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,-0.68,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.2,-0.68,5
default,0.8454800000000007,0.001079970340303817,1000,0.2,-0.68,5
augment,0.85316,0.0012861059320555485,1000,0.2,-0.68,5
average,0.8544399999999986,0.0014598690412559695,1000,0.2,-0.68,5
ensemble,0.8498000000000018,0.0009169519075724789,1000,0.2,-0.68,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,0.5,-0.68,5
default,0.8096399999999997,0.0017730804308361697,1000,0.5,-0.68,5
augment,0.8363200000000035,0.0009347359687801275,1000,0.5,-0.68,5
average,0.791759999999999,0.002159436399981622,1000,0.5,-0.68,5
ensemble,0.8310000000000002,0.00112510704640308,1000,0.5,-0.68,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.0,-0.68,5
default,0.7868399999999981,0.0022662635218240594,1000,1.0,-0.68,5
augment,0.835680000000004,0.00067482812107454,1000,1.0,-0.68,5
average,0.7356399999999987,0.002827611321554962,1000,1.0,-0.68,5
ensemble,0.824120000000001,0.0012331042722114468,1000,1.0,-0.68,5
plurality,0.8400000000000056,1.7914210035155348e-16,1000,1.5,-0.68,5
default,0.7798799999999992,0.0024500588540662454,1000,1.5,-0.68,5
augment,0.8350800000000039,0.0006249673464943409,1000,1.5,-0.68,5
