time,P1,P2,P3,P4,P5,P6,P7,P8
650.0,0.5568174410542034,0.1626866050593575,5.377248229028749,0.19498500040817443,3.380805651790889,2.2056757884552316,1.6741528561439818,5.636269307919611
660.0,0.5566439586433803,0.16178606718064878,4.948458603442025,0.24754255618222956,3.1082040653885823,2.075785479027674,1.654145702723943,5.651235318038967
670.0,0.5565542615857378,0.16114349914410692,4.516394133648913,0.32538840279293374,2.839367145790619,1.956267602465743,1.6358197335091291,5.665001046981512
680.0,0.5567059712614748,0.16102582050800548,4.0916163478665375,0.4378647860021251,2.5790166438708018,1.8466176115871908,1.619041918209136,5.677651824349563
690.0,0.5577544156356773,0.1621816487922854,3.682862349963951,0.5932653136147312,2.3309347235960343,1.7462776991751163,1.6036886062793874,5.689264224627958
700.0,0.5621564462950893,0.1664975175678048,3.2966645183541656,0.7945098033163447,2.0978831305487864,1.6546596197033723,1.5896461241126256,5.699894101428841
710.0,0.5775937223038295,0.17800350577997073,2.937357234929392,1.0352829054242099,1.881641606964291,1.5711618869105286,1.5768138712155573,5.709536849961657
720.0,0.6225643145229813,0.20359336023154442,2.607330684885389,1.3002564409352872,1.68312343498864,1.4951795946562634,1.5651149121101269,5.718019116634308
730.0,0.7289264047110745,0.2522623020073949,2.3073973425458565,1.5701341059287321,1.5025274000579514,1.426090038289209,1.5545247860517084,5.724752511687756
740.0,0.9324869574531562,0.33246575237897136,2.037167113935477,1.827873879288275,1.3394893324369248,1.3630856582397413,1.545138225073922,5.728248524956505
750.0,1.2535815029462498,0.4490738485778172,1.795311907420786,2.0621891867517164,1.193162287220787,1.3040745951673285,1.5373019768834464,5.725381149579037
760.0,1.6850202117208546,0.6019301032843603,1.5794647179100547,2.2676332485042847,1.0620099738372912,1.2412172780105382,1.5318243406878396,5.710844223077686
770.0,2.1977145530994444,0.7864874326050662,1.3857276453240637,2.442688286546693,0.9431873820073576,1.1575489262409835,1.5301961535368442,5.6777051899165825
780.0,2.754814890721361,0.9954202299440512,1.2098709373505758,2.5870939524870513,0.833230263664644,1.0455846016052275,1.5346848614954989,5.619360098123493
790.0,3.321850806191201,1.2199015093337602,1.0502737386225383,2.699014221561042,0.7307599232718485,0.9208771712891053,1.5482084355565173,5.531860742524177
800.0,3.8696635911036696,1.449942806053774,0.9077000397793368,2.7730350145693805,0.6369343867705944,0.8021630878167466,1.5740303771506303,5.415221378069264
810.0,4.373103582605516,1.6741124346439327,0.7826380957481281,2.801008221193283,0.5531887842105929,0.6972170214179945,1.6153904356513789,5.273263496818958
820.0,4.809166513030128,1.8796878731185285,0.6743798776795855,2.7771431523347774,0.4799897561862535,0.6071568969980642,1.675142881902429,5.112533908475718
830.0,5.1569741058909795,2.0542775530787845,0.5814399745930902,2.704380891539655,0.41693930756404557,0.5308688838085467,1.7554088436880269,4.940994794494677
840.0,5.400251286999259,2.188643209294005,0.5020455798641124,2.5958457309550167,0.36316080756385904,0.46670862972458405,1.8572298293252736,4.766876570042264
850.0,5.531234388022324,2.2790181022391907,0.43442245331836526,2.4699402415530596,0.3175898932921144,0.4130571063690427,1.9802497752689907,4.597789294053285
860.0,5.553789550783651,2.3274697675171874,0.3769272018094949,2.3440681223533577,0.2791432446713679,0.36849673588196485,2.1225087423866906,4.440070215618896
870.0,5.483536792592694,2.340418003861827,0.32809557241560233,2.2311672647660603,0.24680396907013924,0.33185993282885945,2.2804580153607867,4.298343908542329
880.0,5.344400737269325,2.3264427942597417,0.2866496756628295,2.1391125170061547,0.21965813617569202,0.3022301212225258,2.449268197527992,4.175308492269443
